Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.2695,0.037000000000000005,-2.352
0.27,0.032,-2.332
0.2705,0.037000000000000005,-2.3080000000000003
0.271,0.037000000000000005,-2.283
0.2715,0.032,-2.2640000000000002
0.272,0.037000000000000005,-2.234
0.2725,0.037000000000000005,-2.215
0.273,0.032,-2.186
0.2735,0.037000000000000005,-2.171
0.274,0.037000000000000005,-2.142
0.2745,0.037000000000000005,-2.117
0.275,0.032,-2.103
0.2755,0.037000000000000005,-2.073
0.276,0.032,-2.044
0.2765,0.032,-2.029
0.277,0.037000000000000005,-2.0
0.2775,0.037000000000000005,-1.9709999999999999
0.278,0.032,-1.9509999999999998
0.2785,0.037000000000000005,-1.9269999999999998
0.279,0.032,-1.8969999999999998
0.2795,0.032,-1.8780000000000001
0.28,0.037000000000000005,-1.8530000000000002
0.2805,0.042,-1.829
0.281,0.032,-1.805
0.2815,0.037000000000000005,-1.785
0.282,0.037000000000000005,-1.751
0.2825,0.032,-1.7309999999999999
0.283,0.032,-1.712
0.2835,0.032,-1.683
0.284,0.037000000000000005,-1.6580000000000001
0.2845,0.032,-1.639
0.285,0.037000000000000005,-1.614
0.2855,0.032,-1.58
0.286,0.032,-1.57
0.2865,0.037000000000000005,-1.536
0.287,0.032,-1.5119999999999998
0.2875,0.032,-1.492
0.288,0.037000000000000005,-1.4680000000000002
0.2885,0.037000000000000005,-1.4380000000000002
0.289,0.032,-1.419
0.2895,0.037000000000000005,-1.3940000000000001
0.29,0.037000000000000005,-1.365
0.2905,0.032,-1.341
0.291,0.037000000000000005,-1.321
0.2915,0.042,-1.2919999999999998
0.292,0.037000000000000005,-1.2670000000000001
0.2925,0.042,-1.253
0.293,0.037000000000000005,-1.219
0.2935,0.032,-1.189
0.294,0.037000000000000005,-1.175
0.2945,0.042,-1.145
0.295,0.032,-1.121
0.2955,0.027000000000000003,-1.101
0.296,0.032,-1.077
0.2965,0.032,-1.048
0.297,0.032,-1.028
0.2975,0.037000000000000005,-0.9990000000000001
0.298,0.042,-0.9740000000000001
0.2985,0.032,-0.95
0.299,0.032,-0.9259999999999999
0.2995,0.037000000000000005,-0.8959999999999999
0.3,0.037000000000000005,-0.877
0.3005,0.037000000000000005,-0.857
0.301,0.042,-0.823
0.3015,0.037000000000000005,-0.8029999999999999
0.302,0.037000000000000005,-0.779
0.3025,0.037000000000000005,-0.755
0.303,0.037000000000000005,-0.73
0.3035,0.032,-0.706
0.304,0.037000000000000005,-0.6809999999999999
0.3045,0.037000000000000005,-0.657
0.305,0.032,-0.637
0.3055,0.037000000000000005,-0.608
0.306,0.037000000000000005,-0.579
0.3065,0.032,-0.5589999999999999
0.307,0.037000000000000005,-0.535
0.3075,0.037000000000000005,-0.505
0.308,0.032,-0.486
0.3085,0.037000000000000005,-0.462
0.309,0.042,-0.43200000000000005
0.3095,0.032,-0.408
0.31,0.037000000000000005,-0.39299999999999996
0.3105,0.037000000000000005,-0.359
0.311,0.037000000000000005,-0.33899999999999997
0.3115,0.037000000000000005,-0.315
0.312,0.037000000000000005,-0.28600000000000003
0.3125,0.032,-0.261
0.313,0.032,-0.242
0.3135,0.032,-0.212
0.314,0.037000000000000005,-0.183
0.3145,0.032,-0.16399999999999998
0.315,0.032,-0.14400000000000002
0.3155,0.042,-0.115
0.316,0.027000000000000003,-0.095
0.3165,0.037000000000000005,-0.071
0.317,0.042,-0.042
0.3175,0.032,-0.017
0.318,0.037000000000000005,-0.002
0.3185,0.042,0.032
0.319,0.037000000000000005,0.061
0.3195,0.032,0.076
0.32,0.042,0.105
0.3205,0.037000000000000005,0.129
0.321,0.037000000000000005,0.154
0.3215,0.042,0.17800000000000002
0.322,0.037000000000000005,0.20800000000000002
0.3225,0.032,0.22699999999999998
0.323,0.037000000000000005,0.252
0.3235,0.032,0.281
0.324,0.032,0.3
0.3245,0.037000000000000005,0.325
0.325,0.042,0.354
0.3255,0.037000000000000005,0.379
0.326,0.037000000000000005,0.39299999999999996
0.3265,0.037000000000000005,0.42700000000000005
0.327,0.037000000000000005,0.452
0.3275,0.037000000000000005,0.47100000000000003
0.328,0.042,0.501
0.3285,0.032,0.525
0.329,0.042,0.5489999999999999
0.3295,0.037000000000000005,0.574
0.33,0.037000000000000005,0.598
0.3305,0.027000000000000003,0.618
0.331,0.037000000000000005,0.647
0.3315,0.037000000000000005,0.6759999999999999
0.332,0.032,0.696
0.3325,0.037000000000000005,0.72
0.333,0.037000000000000005,0.75
0.3335,0.032,0.769
0.334,0.032,0.794
0.3345,0.042,0.818
0.335,0.032,0.8420000000000001
0.3355,0.032,0.862
0.336,0.042,0.8909999999999999
0.3365,0.032,0.9159999999999999
0.337,0.037000000000000005,0.93
0.3375,0.037000000000000005,0.96
0.338,0.037000000000000005,0.9840000000000001
0.3385,0.037000000000000005,1.0090000000000001
0.339,0.042,1.038
0.3395,0.042,1.062
0.34,0.032,1.082
0.3405,0.037000000000000005,1.111
0.341,0.037000000000000005,1.14
0.3415,0.032,1.16
0.342,0.037000000000000005,1.1840000000000002
0.3425,0.042,1.214
0.343,0.032,1.238
0.3435,0.037000000000000005,1.253
0.344,0.037000000000000005,1.2819999999999998
0.3445,0.032,1.311
0.345,0.037000000000000005,1.331
0.3455,0.042,1.355
0.346,0.032,1.375
0.3465,0.032,1.3940000000000001
0.347,0.037000000000000005,1.429
0.3475,0.032,1.453
0.348,0.032,1.4680000000000002
0.3485,0.037000000000000005,1.4969999999999999
0.349,0.037000000000000005,1.531
